date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:48:15	27/27	---M--	200	added ('OK')	text/plain	date:Sat,%2028%20Mar%202015%2020:01:25%20GMT	http://clapat.ro/robots.txt		(from )
23:48:16	19573/19573	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202019%2015:09:53%20GMT	http://clapat.ro/themes/bauman/	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/index.html	(from )
23:48:16	1150/1150	---M--	200	added ('OK')	image/x-icon	date:Thu,%2009%20Feb%202017%2009:35:22%20GMT	http://clapat.ro/themes/bauman/favicon.ico	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/favicon.ico	(from http://clapat.ro/themes/bauman/)
23:48:17	54937/54937	---M--	200	added ('OK')	text/css	date:Wed,%2019%20Feb%202020%2016:37:49%20GMT	http://clapat.ro/themes/bauman/style.css	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/style.css	(from http://clapat.ro/themes/bauman/)
23:48:18	21984/21984	---M--	200	added ('OK')	text/css	date:Tue,%2026%20Aug%202014%2008:46:50%20GMT	http://clapat.ro/themes/bauman/css/font-awesome.min.css	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/css/font-awesome.min.css	(from http://clapat.ro/themes/bauman/)
23:48:19	19573/19573	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202019%2015:09:53%20GMT	http://clapat.ro/themes/bauman/index.html	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/index-2.html	(from http://clapat.ro/themes/bauman/)
23:48:20	3285/3285	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202019%2006:33:32%20GMT	http://clapat.ro/themes/bauman/images/logo.png	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/images/logo.png	(from http://clapat.ro/themes/bauman/)
23:48:20	3365/3365	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Nov%202019%2006:33:55%20GMT	http://clapat.ro/themes/bauman/images/logo-white.png	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/images/logo-white.png	(from http://clapat.ro/themes/bauman/)
23:48:21	23034/23034	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202019%2013:52:46%20GMT	http://clapat.ro/themes/bauman/carousel.html	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/carousel.html	(from http://clapat.ro/themes/bauman/)
23:48:21	26462/26462	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202019%2013:53:36%20GMT	http://clapat.ro/themes/bauman/portfolio-grid.html	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/portfolio-grid.html	(from http://clapat.ro/themes/bauman/)
23:48:22	26559/26559	---M--	200	added ('OK')	text/html	date:Fri,%2015%20Nov%202019%2006:42:35%20GMT	http://clapat.ro/themes/bauman/portfolio-mixed.html	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/portfolio-mixed.html	(from http://clapat.ro/themes/bauman/)
23:48:23	19569/19569	---M--	200	added ('OK')	text/html	date:Thu,%2014%20Nov%202019%2013:36:12%20GMT	http://clapat.ro/themes/bauman/index-classic.html	C:/My%20Web%20Sites/web-architech-2/clapat.ro/themes/bauman/index-classic.html	(from http://clapat.ro/themes/bauman/)
